loan_amnt,term,int_rate,installment,sub_grade,emp_length,annual_inc,dti,pub_rec,revol_bal,revol_util,initial_list_status,mort_acc,pub_rec_bankruptcies,zip_code,earliest_cr_line_scaled,issue_d_scaled,densidad_crediticia,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,verification_status_Not Verified,verification_status_Source Verified,verification_status_Verified,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,prob_default,predicted_class
35000.0,36,17.57,1257.8,18,1.0,85000.0,12.73,1.0,13804.0,47.8,0,4.0,1.0,22690,1985.0,2015.75,2.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5749005,1
20000.0,36,9.99,645.25,7,6.0,70000.0,16.05,0.0,18193.0,91.9,1,4.0,0.0,70466,1999.75,2015.5833333333333,2.4285714285714284,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35877883,0
1500.0,36,18.99,54.98,17,0.0,33000.0,3.24,0.0,3959.0,70.7,0,0.0,0.0,22690,2001.75,2016.4166666666667,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2806256,0
15000.0,60,13.99,348.95,13,9.0,70000.0,15.07,0.0,20315.0,49.7,0,0.0,0.0,93700,2004.75,2015.5,3.272727272727273,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993474,1
18525.0,60,28.49,582.28,33,9.0,65000.0,12.04,0.0,18008.0,71.7,1,0.0,0.0,30723,2005.75,2015.8333333333333,1.3636363636363635,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80668676,1
20000.0,36,13.99,683.46,12,1.0,65000.0,12.22,1.0,11742.0,39.0,0,1.0,1.0,22690,1985.0,2016.6666666666667,2.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013005461,0
20000.0,36,8.39,630.34,5,1.0,100000.0,9.95,1.0,7000.0,34.1,0,1.0,1.0,30723,1996.0,2016.0833333333333,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21123546,0
7675.0,36,11.99,254.89,10,1.0,100000.0,30.07,0.0,26787.0,92.7,0,0.0,0.0,93700,1997.9166666666667,2016.1666666666667,2.4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99933285,1
5600.0,36,9.76,180.07,7,9.0,34000.0,14.17,0.0,8745.0,50.3,0,3.0,0.0,70466,2007.25,2015.9166666666667,1.4285714285714286,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32731214,0
16000.0,36,11.99,531.36,10,3.0,90000.0,3.24,0.0,8801.0,65.2,0,3.0,0.0,11650,1990.1666666666667,2016.0,3.375,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9913216,1
30400.0,60,10.99,660.82,8,10.0,150000.0,15.04,3.0,19316.0,26.1,0,7.0,0.0,813,1999.0,2015.5833333333333,3.3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005081386,0
8000.0,36,11.47,263.7,9,10.0,35000.0,25.55,0.0,6193.0,59.5,0,0.0,0.0,30723,2001.75,2016.25,2.857142857142857,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4298362,0
12000.0,36,10.99,392.81,8,2.0,70000.0,3.21,0.0,9964.0,77.2,0,1.0,0.0,48052,2001.8333333333333,2015.8333333333333,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36331782,0
35000.0,36,16.99,1247.68,17,3.0,275000.0,7.24,0.0,3190.0,55.0,1,3.0,0.0,93700,2003.1666666666667,2015.75,4.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99956876,1
3500.0,36,6.49,107.26,1,1.0,75000.0,15.2,0.0,5075.0,23.3,0,2.0,0.0,30723,1993.8333333333333,2016.0833333333333,2.1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07709353,0
25000.0,36,7.89,782.15,4,10.0,60000.0,20.66,0.0,38305.0,56.4,0,3.0,0.0,813,2000.4166666666667,2016.1666666666667,1.9375,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030702975,0
10000.0,60,18.25,255.3,20,9.0,65000.0,4.58,0.0,1008.0,15.0,0,1.0,0.0,48052,2003.3333333333333,2015.75,1.7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5988706,1
4800.0,36,11.99,159.41,10,,50000.0,23.04,0.0,13284.0,62.7,0,3.0,0.0,5113,1997.6666666666667,2016.0833333333333,2.5384615384615383,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076119707,0
10000.0,36,10.99,327.34,8,2.0,135000.0,21.46,0.0,11353.0,33.0,0,3.0,0.0,22690,1999.5,2016.6666666666667,1.3333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013155597,0
16000.0,60,13.18,365.53,12,6.0,90000.0,24.53,0.0,24963.0,50.6,0,2.0,0.0,70466,1993.5,2015.9166666666667,1.8125,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6289408,1
18600.0,60,11.47,408.79,9,0.0,108000.0,31.0,0.0,11109.0,21.2,0,2.0,0.0,22690,1995.5,2016.4166666666667,3.0526315789473686,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.18165293,0
